Knyazhev	クニャジェフ
Knyazev	クニャーゼフ
Kobelev	コベレフ
Kobylkin	コブィルキン、コビルキン
Kovalyov	コヴァリョフ
Kovalevsky	コヴァレフスキー
Kovalenko	コヴァレンコ
Kovalsky	コヴァリスキー
Kovrizhnykh	コヴリーズヌィフ
Kozhevnikov	コジェヴニコフ
Kozhemyakin	コジェミャキン
Kozhokin	コジョーキン
Kozhukhov	コジュホフ
Kozeradsky	コゼラツキー
Kozlov	コズロフ
Kozyrev	コーズィレフ
Kokov	コーコフ
Kokorev	コーコレフ
Kokoshin	ココーシン
Kolbasov	コルバソフ
Kolganov	コルガノフ
Kolegov	コーレゴフ
Kolesnikov	コレスニコフ
Kolesnichenko	コレスニチェンコ
Kolinichenko	コリニチェンコ
Kolmakov	コルマコフ
Kolobov	コーロボフ
Kologolov	コロゴロフ
Kolodeznikov	コロジェズニコフ
Kolokolov	コロコロフ
Kolomeytsev	コロメイツェフ
Kolomenkin	コロメンキン
Kolosov	コロソフ
Kolpakov	コルパコフ
Koltakov	コルタコフ
Komarov	コマロフ
Komarovsky	コマロフスキー
Komissarov	コミッサーロフ
Komlev	コムレフ
Komov	コーモフ
Kompantsev	コンパンツェフ
Komchatov	コムチャトフ
Konakov	コナコフ
Kondakov	コンダコフ
Kondaurov	コンダウロフ
Kondratenko	コンドラチェンコ
Kondratov	コンドラトフ
Kondratev	コンドラーチェフ
Kondrashov	コンドラショフ
Konovalov	コノヴァロフ
Kononov	コーノノフ
Konstantinov	コンスタンチノフ
Konchalovsky	コンチャロフスキー
Kopeykin	コペイキン
Kopsov	コプソフ
Koptev	コプチェフ
Kopylov	コプィロフ
Korabelshchikov	コラベリシコフ、コラベリシチコフ
Korelsky	コレリスキー
Korepanov	コレパノフ
Korzhakov	コルジャコフ
Korniyenko	コルニエンコ
Kornilov	コルニーロフ
Korobeynikov	コロベイニコフ
Korobitsin	コロビツィン
Korobka	コロープカ
Korobov	コロボフ
Korobchenko	コロプチェンコ
Korovkin	コロフキン
Korovnikov	コロヴニコフ
Korolyov	コロリョーフ
Korolenko	コロレンコ
Korotkov	コロトコフ
Korochin	コロチン
Korpachev	コルパチェフ
Korsakov	コルサコフ
Korsun	コルスン
Korsunov	コルスノフ
Korsuntsev	コルスンツェフ
Korchagin	コルチャーギン
Korshunov	コルシュノフ
Kosarikov	コサリコフ
Kosenko	コセンコ
Kosikov	コシコフ
Kosopkin	コソプキン
Kossov	コッソフ
Kostenko	コスチェンコ
Kosterin	コスチェリン
Kostikov	コスチコフ
Kostin	コスチン
Kostomarov	コストマロフ
Kostyrin	コストィリン
Kostyunin	コスチュニン
Kostyutkin	コスチュトキン
Kostyuchenko	コスチュチェンコ
Kosykh	コスィフ
Kotelkin	コチェルキン
Kotenyov	コチェニョーフ
Kotenkov	コチェンコフ
Kotkov	コトコフ
Kotlyarov	コトリャロフ
Kotov	コートフ、コトフ
Kotyusov	コチュソフ
Kochegura	コチェグラ
Kochergin	コチェルギン
Koshelev	コーシェレフ
Koshkin	コシュキン、コーシュキン
Kravtsov	クラフツォフ
Kraynev	クライネフ
Krapivin	クラピヴィン
Krasavchenko	クラサフチェンコ
Krasikov	クラシコフ
Krasilnikov	クラシーリニコフ
Krasnikov	クラスニコフ
Krasnov	クラスノフ
Krasnopivtsev	クラスノピフツェフ
Krasnoyarov	クラスノヤロフ
Krasnykh	クラスヌィフ
Krasheninnikov	クラシェニンニコフ
Krestyaninov	クレスチヤニノフ
Krivelyov	クリヴェリョフ
Krivov	クリヴォフ
Krivoshapkin	クリヴォシャプキン
Krivchenko	クリフチェンコ
Kropotkin	クロポトキン
Kropotov	クロポトフ
Kruglikov	クルグリコフ
Kruglov	クルグロフ
Krupnov	クルプノフ
Krutykh	クルトィフ
Krushinsky	クルシンスキー
Krylov	クルィロフ
Krysyayev	クルィシャエフ
Kryukov	クリューコフ
Kryuchkov	クリュチコフ
Kubarev	クーバレフ
Kuvayev	クヴァエフ
Kuvshinov	クフシノフ
Kudinov	クジノフ
Kudrin	クドリン
Kudryavtsev	クドリャーフツェフ
Kudryashov	クドリャショーフ
Kuzenkov	クゼンコフ
Kuzin	クージン
Kuzmin	クズミン
Kuznetsov	クズネツォフ
Kuznechov	クズネチョフ
Kuzmin	クジミン
Kuzmichev	クジミチェフ
Kuzyukov	クジュコフ
Kulagin	クラーギン
Kulakov	クラコーフ
Kulakovsky	クラコフスキー
Kulyomin	クリョーミン
Kuleshev	クレシェフ
Kulikov	クリコフ
Kulechev	クリエチェフ
Kunin	クーニン
Kuprin	クプリーン、クプリン
Kupriyanovsky	クプリヤノフスキー
Kuptsov	クプツォフ
Kurakov	クラコフ
Kuramin	クラミン
Kuranov	クラノフ
Kurbatov	クルバトフ
Kurgapkin	クルガープキン
Kurenkov	クレンコフ
Kurin	クーリン
Kuritsyn	クリツィン
Kurnikov	クルニコフ
Kuropatkin	クロパトキン
Kurochkin	クロチキン
Kurtin	クルチン
Kutafin	クタフィン
Kutukov	クトゥコフ
Kuchinsky	クチンスキー
Kshesinsky	クシェシンスキー
Lavrentev	ラヴレーンチェフ
Lavrov	ラヴローフ
Lavrovsky	ラヴロフスキー
Ladygin	ラドィギン
Lazarev	ラーザレフ、ラザレフ
Lazarenko	ラザレンコ
Lazutkin	ラズトキン
Lapin	ラーピン
Laptev	ラプチェフ
Lapshin	ラプシン
Larionov	ラリオノフ
Latkin	ラトキン
Latyshev	ラートィシェフ
Lebedev	レベジェフ
Levashov	レヴァショフ
Levedev	レヴェジェフ
Levitan	レヴィタン
Levkov	レフコフ
Levchenko	レフチェンコ
Legkov	レクコフ
Lednev	レドネフ
Lezhnin	レズニン
Lemeshev	レメシェフ
Lemeshov	レメショフ
Leonov	レオーノフ、レオノフ
Leontev	レオーンチェフ
Leonchev	レオンチェフ
Lepyokhin	レピョーヒン
Leskin	レスキン
Leskov	レスコフ
Leushkin	レウシュキン
Livanov	リヴァノフ
Livinsky	リヴィンスキー
Ligachyov	リガチョフ
Limansky	リマンスキー
Lipnitsky	リプニツキー
Lisin	リーシン
Lisitsyn	リシツィン
Lisichkin	リシチキン
Litvinenko	リトヴィネンコ
Litvinov	リトヴィノフ
Litvintsev	リトヴィンツェフ
Liforov	リフォロフ
Likhachyov	リハチョフ
Lichenko	リチェンコ
Lobanov	ロバーノフ
Lobkov	ロプコフ
Lobov	ローボフ
Lobukhin	ロブーヒン
Lobyshev	ロブィシェフ
Loginov	ロギノフ
Logunenko	ログネンコ
Logunov	ログノフ
Lodkin	ロトキン
Lozov	ローゾフ
Loktionov	ロクチオノフ
Lomakin	ロマキン
Lopatikin	ロパチキン
Lopatin	ロパーチン
Lopatkin	ロパートキン
Lopukhov	ロプホフ
Losev	ローセフ
Lotkov	ロトコフ
Lubenchenko	ルベンチェンコ
Luzhkov	ルシュコフ
Lukashyov	ルカショフ
Lukin	ルキーン
Lukyanov	ルキヤノフ
Lunyov	ルニョフ
Luntovsky	ルントフスキー
Luchagin	ルチャギン
Lyzhin	ルィジン
