Kasvio	カスヴィオ
Kataikko	カタイッコ
Katainen	カタイネン
Kataja	カタヤ
Katajainen	カタヤイネン
Katajisto	カタイスト
Kätkä	カトゥカ
Kattilakoski	カッティラコスキ
Kauhanen	カウハネン
Kaukonen	カウコネン
Kauniainen	カウニアイネン
Kauppi	カウッピ
Kauppila	カウッピラ
Kauppinen	カウッピネン
Kauranen	カウラネン
Kaurismäki	カウリスマキ
Kautonen	カウトネン
Kautto	カウット
Käyhkö	カユフコ
Keinonen	ケイノネン
Kekkonen	ケッコネン
Kellosalmi	ケッロサルミ
Kemiläinen	ケミライネン
Kemppainen	ケンッパイネン（ケムパイネン）
Kemppi	ケンッピ
Kemppinen	ケンッピネン
Kentala	ケンタラ
Keränen	ケラネン
Kervinen	ケルヴィネン
Kesä	ケサ
Kesiö	ケシオ
Keskinarkaus	ケスキナルカウス
Keskinen	ケスキネン
Keskisaari	ケスキサーリ
Keskitalo	ケスキタロ
Keto	ケト
Ketola	ケトラ
Kettu	ケットゥ
Kettunen	ケットゥネン
Keurulainen	ケウルライネン
Kiesi	キエシ
Kiiski	キースキ
Kiiskinen	キースキネン
Kiljunen	キリユネン（キュリーネン）
Kilkka	キルッカ
Killinen	キッリネン
Kilpeläinen	キルペライネン
Kilpi	キルピ
Kilpinen	キルピネン
Kilpivaara	キルピヴァーラ
Kilponen	キルポネン
Kinnunen	キンヌネン
Kippo	キッポ
Kirjarinta	キルヤリンタ
Kirvesniemi	キルヴェスニエミ
Kitinoja	キティノヤ
Kiuru	キウル
Kivari	キヴァリ
Kivekäs	キヴェカス
Kivelä	キヴェラ
Kivi	キヴィ
Kivikoski	キヴィコスキ
Kivilaakso	キヴィラークソ
Kivilahti	キヴィラハティ（キヴィラフティ）
Kivilehto	キヴィレフト
Kivimäki	キヴィマキ
Kivimaki	キヴィマキ
Kivinen	キヴィネン
Kiviniemi	キヴィニエミ（キビニエミ）
Kiviniitty	キヴィニーッテュ
Kivioja	キヴィオヤ
Kiviranta	キヴィランタ
Kivisalo	キヴィサロ
Kivistö	キヴィスト
Klami	クラミ
Kleemola	クレーモラ
Klemelä	クレメラ
Knihtilä	クニヒティラ
Knipi	クニピ
Knuutinen	クヌーティネン
Koho	コホ
Kohonen	コホネン
Koikkalainen	コイッカライネン
Koistinen	コイスティネン
Koivisto	コイヴィスト
Koivu	コイヴ
Koivula	コイヴラ
Koivulahti	コイヴラハティ
Koivulehto	コイヴレフト
Koivumaa	コイヴマー
Koivumäki	コイヴマキ
Koivunen	コイヴネン
Koivuniemi	コイヴニエミ
Koivuranta	コイヴランタ
Koivusaari	コイヴサーリ
Kojonkoski	コヨンコスキ
Kokko	コッコ
Kokkola	コッコラ
Kokkonen	コッコネン
Kolanen	コラネン
Kolehmainen	コレフマイネン
Kolkka	コルッカ
Kolkkala	コルッカラ
Kolttola	コルットラ
Komulainen	コムライネン
Könönen	コノネン
Kononen	コノネン
Kontiola	コンティオラ
Konttinen	コンッティネン
Kontula	コントゥラ
Kopila	コピラ
Koponen	コポネン
Koppala	コッパラ
Korhola	コルホラ
Korhonen	コルホネン
Korjus	コルユス
Korkeaoja	コルケアオヤ
Korpela	コルペラ
Korpelainen	コルペライネン
Korpi	コルピ
Korpijaakko	コルピヤーッコ
Korpikoski	コルピコスキ
Korpinen	コルピネン
Kortekangas	コルテカンナス
Kortesmäki	コルテスマキ
Koskela	コスケラ
