Romo	ロモ
Roque	ロケ
Ros	ロス
Rosado	ロサド
Rosales	ロサレス
Rosario	ロサリオ
Rosas	ロサス
Roybal	ロイバル
Ruano	ルアノ
Rubio	ルビオ
Rueda	ルエダ
Ruelas	ルエラス
Ruiz	ルイス
Ruvalcaba	ルバルカバ
Sabicas	サビカス
Sáenz	サエンス
Saiz	サイス
Salas	サラス
Salazar	サラサール
Salcedo	サルセド
Salcido	サルシド
Saldaña	サルダニャ
Saldivar	サルディバル
Sales	サレス
Salgado	サルガド、サルガード
Salinas	サリナス
Samaniego	サマニエゴ
Sanabria	サナブリア
Sanches	サンチェス
Sánchez	サンチェス
Sandoval	サンドバル
Sanlúcar	サンルカル
Santacruz	サンタクルス
Santamaria	サンタマリア
Santana	サンターナ
Santiago	サンティアゴ
Santillán	サンティジャン
Santos	サントス
Sanz	サンス
Sarabia	サラビア
Sarasate	サラサーテ
Sardinero	サルディネロ
Sariñana	サリニャーナ
Sauceda	サウセダ
Saucedo	サウセド
Savater	サバテル
Sedeño	セデニョ
Sedillo	セディジョ
Segarra	セガルラ
Segovia	セゴビア
Segura	セグラ
Segurola	セグロラ
Sempere	センペレ
Sendino	センディノ
Sepúlveda	セプルベダ
Serano	セラノ
Serena	セレーナ
Serna	セルナ
Serra	セルラ
Serrano	セルラノ（セラーノ）
Serrato	セルラト
Serveto	セルベト
Sesé	セセ
Sevilla	セビジャ
Sierra	シエルラ
Silva	シルバ
Silvestre	シルベストレ
Sisneros	シスネロス
Sobrino	ソブリノ
Socías	ソシアス
Solá	ソラ
Solana	ソラナ
Solanas	ソラナス
Solano	ソラノ
Soldevila	ソルデビラ
Solé	ソレ
Soler	ソレル、ソレール
Solés	ソレス
Soleto	ソレト
Solís	ソリス
Soliz	ソリス
Solorio	ソロリオ
Solorzano	ソロルサノ
Sor	ソル
Soria	ソリア
Soriano	ソリアノ
Sorozábal	ソロサバル
Sosa	ソサ
Sotelo	ソテロ
Soto	ソト
Suárez	スアレス
Sune	スネ
Surinach	スリナーチ
Suvisa	スビサ
Tafoya	タフォジャ
