Ducasse	デュカス
Duchamp	デュシャン
Duchemin	デュシュマン
Duchesnay	デュシュネ
Duchesne	デュシェーヌ
Duclos	デュクロ
Ducos	デュコ
Ducoudray	デュクドレー
Ducrocq	デュクロク
Ducrot	デュクロ
Dudevant	デュドヴァン
Dudouet	デュドゥエ
Dufaure	デュフォール
Dufaux	デュフォー
Dufour	デュフール
Dufourcq	デュフルク
Dufresne	デュフレーヌ
Dufy	デュフィ
Dughet	デュゲ
Dugué	デュゲ
Duguit	デュギー
Duhem	デュエム
Dujardin	デュジャルダン
Dulac	デュラク
Dullin	デュラン
Dulong	デュロン
Duma	デュマ
Dumas	デュマ
Duméry	デュメリー
Dumond	デュモン
Dumont	デュモン
Dumortier	デュモルチエ
Dumouriez	デュムーリエ
Dunan	デュナン
Dunant	デュナン
Dunois	デュノア
Dunoyer	デュノアイエ
Duparc	デュパルク
Dupin	デュパン
Dupleix	デュプレクス
Duplessis	デュプレシ
Dupont	デュポン
Duport	デュポール
Dupouy	デュプイ
Dupré	デュプレ
Dupressoir	デュプレソワール
Dupuis	デュピュイ
Dupuytren	デュピュイトラン
Durand	デュラン
Durey	デュレー
Durivault	ドゥリヴォー
Durkheim	デュルケーム
Durrenberger	デュランベルジェ
Duruflé	デュリュフレ
Duruy	デュリュイ
Dussaut	デュソー
Dussolier	デュソリエ
Dutilleux	デュティユー
Dutoit	デュトワ
Duval	デュヴァル
Duvalier	デュヴァリエ
Duvergier	デュヴェルジェ
Duvernoy	デュヴェルノワ
Duvillard	デュヴィラール
Duvillier	デュヴィーエ
Duvivier	デュヴィヴィエ
Eiffel	エッフェル
Eloy	エロワ
Éluard	エリュアール
Emmanuel	エマニュエル
Epée	エペー
Erlanger	エルランジェ
Ernaux	エルノー
Escoffier	エスコフィエ
Estienne	エチエンヌ
Estrées	エストレ
Ethuin	エテュアン
Evrard	エヴラール
Fabius	ファビウス
Fache	ファシュ
Faisandier	フェザンディエ
Faivre	フェーヴル
Falguière	ファルギエール
Fallières	ファリエール
Fallot	ファロ
Faucomprez	フォーコンプレ
Fauconnet	フォーコネ
Faure	フォール
Fauré	フォレ、フォーレ
Fautrel	フォートレル
Fautrier	フォートリエ
Fénéon	フェネオン
Fer	フェル
Ferrer	フェレール
Ferrier	フェリエ
Feuillade	フイヤード
Févin	フェヴァン
Feydeau	フェドー
Fillon	フィヨン
Finel	フィネル
Fiquet	フィケ
Fizeau	フィゾー
Flaubert	フロベール
Flavigny	フラヴィニー
Fleury	フルーリー
Floquet	フロケ
Fontaine	フォンテーヌ
Fontanier	フォンタニエ
Fontbrune	フォンブリューヌ
Forge	フォルジュ
Forget	フォルジェ
Forqueray	フォルクレ
Fort	フォル
Fortant	フォルタン
Fortier	フォルチエ
Fortin	フォルタン
Foucault	フーコー
Fourcade	フルカード
Fourdrain	フールドラン
Fourier	フーリエ
Fournier	フルニエ
Fragonard	フラゴナール
Fraipont	フレポン
France	フランス
Francell	フランセル
Francœur	フランクール
Francy	フランシ
Frémont	フレモン
Fremy	フレミー
Frion	フリオン
Froumenty	フルマンティ
Fugain	フュギャン
Gabin	ギャバン
Gaboriau	ガボリオ、ギャボリオ
Gabriel	ギャブリエル、ガブリエル
Gadenne	ガダンヌ
Gaillard	ガイヤール
Gailly	ガイイ
Gall	ギャル
Gallienne	ギャリエンヌ
Gallimard	ガリマール
Gallois	ギャロワ
Galois	ギャロワ
Galpérine	ギャルペリーヌ
Galvin	ギャルヴァン
Ganne	ギャンヌ
Gardon	ギャルドン
Garnerin	ガルヌラン
Garnier	ギャルニエ（ガルニエ）
Gasquet	ガスケ
Gattegno	ガッテニョ
Gaubert	ゴーベール
Gaudin	ゴダン
Gauguin	ゴーギャン
Gaulle	ゴール
Gaultier	ゴルチエ
Gaumond	ゴーモン
Gaumont	ゴーモン、ゴモン
Gauthier	ゴーチエ
Gautier	ゴーチエ
Gavoty	ガヴォティ
Gayet	ガイエ、ギャイエ
Gebel	ジュベル
Gédéon	ジェデオン
Gélin	ジェラン
Geliot	ジュリオ
Géliot	ジェリオ
Gellée	ジュレ
Gendron	ジャンドロン
Geneste	ジュネスト
Genet	ジュネ
Gens	ジャン
Geoffray	ジョフレ
Geoffroy	ジョフロワ
Georges	ジョルジュ
Gérard	ジェラール
Gerardin	ジェラルダン
Gerbault	ジェルボー
Gerét	ジェレ
Géricault	ジェリコー
Germain	ジェルマン
Gérôme	ジェローム
Gervais	ジェルヴェ
Gervaise	ジェルヴェーズ
Giardino	ジャルディノ
Gicquel	ジケル
Gide	ジード、ジッド
Gignoux	ジヌー
Gigot	ジゴー
Gil	ジル
Gilibert	ジリベール
Gilleron	ジルロン
Gillet	ジレ
Gillot	ジロ
Gilly	ジリー
Gionnet	ジオネ
Giono	ジオノ
Girard	ジラール
Girardet	ジラルデ
Girardière	ジラルディエール
Giraud	ジロー
