Abate	アバーテ
Cantarelli	カンタレッリ
Cantelli	カンテッリ
Cantoni	カントーニ
Caovilla	カオヴィッラ
Capasa	カパーザ
Capecchi	カペッキ
Capece	カペーチェ
Capelletti	カペッレッティ
Capelli	カペッリ
Capellini	カペッリーニ
Capello	カペッロ
Capitanio	カピターニオ
Capizzi	カピッツィ
Caponi	カポーニ
Capovilla	カポヴィッラ
Cappa	カッパ
Cappelletti	カッペッレッティ
Cappelli	カッペッリ
Cappellini	カッペッリーニ
Cappello	カッペッロ
Capponi	カッポーニ
Cappuccilli	カプッチッリ
Capua	カプア
Capuana	カプアーナ
Capucci	カプッチ
Capulli	カプッリ
Caputo	カプート
Caracciolo	カラッチョロ
Caratelli	カラテッリ
Carbone	カルボーネ
Carbonera	カルボネラ
Carboni	カルボーニ
Carcassi	カルカッシ
Cardano	カルダーノ
Cardia	カルディア
Cardinale	カルディナーレ
Carducci	カルドゥッチ
Carella	カレッラ
Carelli	カレッリ
Carfagna	カルファーニャ
Cargini	カルジーニ
Caria	カリア
Caridi	カリディ
Carignani	カリニャーニ
Carillo	カリッロ
Carini	カリーニ
Carissimi	カリッシミ
Carlei	カルレーイ
Carletti	カルレッティ
Carli	カルリ
Carlini	カルリーニ
Carlone	カルローネ
Carlucci	カルルッチ
Carmignola	カルミニョーラ
Carminati	カルミナーティ
Carnevale	カルネヴァーレ
Carnimeo	カルニメーオ
Carosio	カロージオ
Carrà	カッラ
Carrisi	カルリージ
Carta	カルタ
Carteri	カルテーリ
Carulli	カルッリ
Caruso	カルーゾ（カルーソー）
Casale	カザーレ
Casapietra	カサピエトラ
Casarini	カザリーニ
Casavola	カザーヴォラ（カサヴォーラ）
Casciari	カシャーリ
Cascone	カスコーネ
Casella	カゼッラ
Casellato	カゼラート
Caselli	カゼッリ
Casini	カジーニ、カシーニ
Casiraghi	カシラーギ、カジラーギ
Casoni	カゾーニ
Cassamagnaghi	カッサマニャーギ
Cassani	カッサーニ
Cassano	カッサーノ
Cassinelli	カッシネッリ
Cassola	カッソーラ
Castagnone	カスタニョーネ
Castellana	カステッラーナ
Castellani	カステッラーニ
Castellazzi	カステッラッツィ
Castelli	カステッリ
Castellini	カステッリーニ
Castellitto	カステッリーット
Castellucci	カステッルッチ
Castelnuovo	カステルヌオーヴォ
Castigliano	カスティリャーノ
Castiglione	カスティッリョーネ、カスティリオーネ
Castiglioni	カスティッリョーニ、カスティリオーニ
Castrogiovanni	カストロジョヴァンニ
Catalani	カタラーニ
Catalano	カタラーノ
Catella	カテッラ
Catone	カトーネ
