Salvatorangelo	サルヴァトーランジェロ
Salvatore	サルヴァトーレ
Samuele	サムエーレ、サムエレ
Sandro	サンドロ
Sansone	サンソーネ
Saturnino	サトゥルニーノ
Saverio	サヴェリオ、サヴェーリオ
Savino	サヴィーノ
Sebastiano	セバスティアーノ
Secondo	セコンド
Senofonte	セノフォンテ
Serafino	セラフィーノ
Sergio	セルジョ
Sesto	セスト
Severiano	セヴェリアーノ
Severino	セヴェリーノ
Severo	セヴェーロ
Sigismondo	シジズモンド
Silvano	シルヴァーノ
Silverio	シルヴェリオ
Silvestro	シルヴェストロ
Silvio	シルヴィオ
Simone	シモーネ
Sisto	シスト
Spano	スパーノ
Spartaco	スパルタコ
Stefano	ステファノ、ステーファノ
Taddeo	タッデオ
Tammaro	タンマーロ
Tarcisio	タルチジオ、タルチージオ
Tarquinio	タルクウィニオ、タルクウィーニオ
Tazio	タツィオ
Teo	テオ、テーオ
Teodoro	テオドーロ
Teodosio	テオドージオ
Teofilo	テオフィロ
Terenzio	テレンツィオ
Tiberio	ティベリオ
Timoteo	ティモテオ、ティモーテオ
Tino	ティーノ
Tito	ティト、ティート
Tiziano	ティツィアーノ
Tobia	トビア
Tomaso	トマーゾ
Tommaso	トンマーゾ
Tonio	トーニオ
Torquato	トルクヮート
Tranquillo	トランクウィッロ
Tristano	トリスターノ
Tullio	トゥッリオ、トゥーリオ
Ubaldo	ウバルド
Uberto	ウベルト
Ugo	ウーゴ
Ugolino	ウゴリーノ
Ulderico	ウルデリコ
Ulisse	ウリッセ
Umberto	ウンベルト
Urbano	ウルバーノ
Valente	ヴァレンテ
Valentino	ヴァレンティーノ、ヴァレンティノ
Valeriano	ヴァレリアーノ
Valerio	ヴァレリオ、ヴァレーリオ
Valfredo	ヴァルフレード
Vanni	ヴァンニ
Vasco	ヴァスコ
Venanzio	ヴェナンツィオ
Venceslao	ヴェンチェズラオ
Venerio	ヴェネリオ
Vespasiano	ヴェスパジアーノ
Vezio	ヴェッツィオ
Vigilio	ヴィジリオ
Vilfredo	ヴィルフレード
Vincenzo	ヴィンチェンツォ
Vinicio	ヴィニーチョ
Virgilio	ヴィルジーリオ、ヴィルジリオ
Vitale	ヴィターレ
Vito	ヴィート
Vittore	ヴィットーレ
Vittorio	ヴィットーリオ、ヴィットリオ
