Abenius	アベニウス
Igelström	イーゲルストレーム
Ingemarsson	インゲマション
Ingesson	インゲソン
Ingeström	インニェストレーム
Isaksson	イサクソン
Isfeldt	イスフェルト
Ivarsson	イーヴァション
Jacobson	ヤーコブソン
Jacobsson	ヤコブソン
Jäderholm	イェーデルホルム
Jåfs	ヨーフス
Jakobsson	ヤコブソン
Janols	ヤノルス
Jansson	ヤンソン
Järås	ヤーロース（イェールオース）
Järnefelt	ヤーネフェルト
Jennefelt	イェンネフェルト
Jeppsson	イェップソン
Jernberg	ヤルンバリ、イェルンベリ
Johanson	ヨーハンソン
Johansson	ヨハンソン
Johnsen	ヨンセン
Johnson	ヨンソン、ユーンソン
Johnsson	ヨンソン
Jonasson	ヨナソン
Jönsson	イェンソン
Jonsson	ヨンソン
Josefsson	ヨセフソン、ヨーセフソン
Josephson	ユーセフソン
Juhlin	ユーリーン
Juholt	ユーホルト
Kallela	カッレラ
Kallenberg	カッレンバリ
Kallstenius	カルステニウス
Källström	シェルストレーム
Kalm	カルム
Kamark	カマルク
Kamprad	カンプラード
Karlfeldt	カールフェルト
Karlgren	カールグレーン
Karlsson	カールソン
Karnéus	カルネウス
Kjaell	シェル
Kjellberg	シェルバリ
Kjellman	シェルマン
Kjellström	シェルストレーム
Kjörnsberg	ショルンスバリ
Klingenberg	クリンゲンバリ
Klingvall	クリングヴァル
Klum	クルーム
Knaust	クナウスト
Knutsson	クヌートソン
Koch	コック
Kollberg	コールバリ
Körberg	ショールバリ
Krantz	クランツ
Kristersson	クリステション
Kristiansson	クリスティアンソン
Kristoffersson	クリストッフェション
Kronberg	クロンバリ
Kvarnström	クヴァーンストレーム
Läckberg	レックバリ
Lagerbäck	ラーゲルベック
Lagerberg	ラーゲルバリ
Lagerblad	ラーゲルブラード
Lagercrantz	ラーゲルクランツ
Lagerfeldt	ラーゲルフェルト
Lagergren	ラーゲルグレーン
Lagerkvist	ラーゲルクヴィスト
Lagerlöf	ラーゲルレーヴ
Lagerquist	ラーゲルクヴィスト
Lagerqvist	ラーゲルクヴィスト
Lail	ライル
Landeskog	ランデスコーグ
Landström	ランドストレーム
Lång	ローン
Långström	ロングストレーム
Lannerbäck	ランナーベック
Lantz	ランツ
Larcén	ラルセン
Laretei	ラレテイ
Larsén	ラルセン
Larserud	ラーシャルード
Larson	ラーション
Larsson	ラーション
Laurin	ラウリーン
Laxström	ラクストレーム
Leanderson	レアンデション
Leijon	レイヨン
Leijonborg	レイヨンボリ
Lennartsson	レンナルトソン
Lennstrand	レンストランド
Lexell	レクセル
Leygraf	レイグラーフ
Lidholm	リードホルム
Lidman	リドマン
Lilja	リーリャ
Liljeberg	リリェバリ
Liljefors	リリェフォッシュ
Liljeholm	リリェホルム
Liljeström	リリェストレーム
Lillkvist	リルクヴィスト
Lillquist	リルクヴィスト
Lillqvist	リルクヴィスト
Lind	リンド
Lindahl	リンダール
Lindberg	リンドバリ
Lindblad	リンドブラード
Lindblom	リンドブロム
Lindborg	リンドボリ
Lindegård	リンデゴード
Lindegren	リンデグレーン
Lindell	リンデル
Linder	リンデル
Linderoth	リンデロート
Lindfors	リンドフォーシュ
Lindgren	リンドグレーン
Lindh	リンド
Lindhagen	リンドハーゲン
Lindholm	リンドホルム
Lindi	リンディ
Lindkvist	リンドクヴィスト
Lindman	リンドマン
Lindquist	リンドクヴィスト
Lindqvist	リンドクヴィスト
Lindroth	リンドロート
Lindstedt	リンドステット
Lindstrand	リンドストランド
Lindström	リンドストレーム
Lindvall	リンドヴァル
Lindwall	リンドヴァル
Linné	リネー
Ljung	ユーン
Ljungberg	ユングバリ、ユンバリ
Ljunggren	ユンググレーン、ユングレーン
Ljungkvist	ユングクヴィスト
Ljungman	ユングマン
Ljungquist	ユングクヴィスト
Ljungqvist	ユングクヴィスト
Ljungstedt	ユングステット
Ljungström	ユングストレーム
Löf	レーヴ
Löfgren	レーフグレーン
Löfkvist	レーフクヴィスト
Löfquist	レーフクヴィスト
Löfqvist	レーフクヴィスト
